faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,faceImages_q,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.943137700000079,0.5016706999995222,[0.17037037037037037],[0.06481481481481481],[1],[0],[0],[0.9292420999991009],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
,,,,,,,,,,,,,,,,,,,9.418454099999508,9.418454099999508,9.418454099999508,9.418454099999508,9.418454099999508,0.0012908000007882947,3.6814814814814816,0.07452960000046005,None,None,[0.7685185185185185],[-0.4185185185185185],[1],[0],[0],[0.8958380999993096],['image'],,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.291263099999924,0.5031156999993982,0.06481481481481481,0.046296296296296294,1,0,0,instrBlock,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_AF_245_143_N.png,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_006_M_F_N_A.png,0,1,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_AF_231_357_N.png,0,2,2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_LM_201_057_N.png,0,3,3,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_LF_224_176_N.png,0,4,4,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_087_M_M_N_A.png,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_LM_203_026_N.png,0,6,6,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_AF_245_143_N.png,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_BM_234_172_N.png,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_LM_201_057_N.png,0,9,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_136_M_M_N_A.png,0,10,10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
