faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,faceImages_q,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\LCHEEK_CFD_LM_201_057_N.png,0,11,11,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_WF_250_167_N.png,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_035_M_F_N_A.png,0,13,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_LM_203_026_N.png,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_AF_245_143_N.png,0,15,15,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_BM_213_134_N.png,0,16,16,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_BF_224_002_N.png,0,17,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_WF_250_167_N.png,0,18,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_LM_203_026_N.png,0,19,19,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_LM_201_057_N.png,0,20,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_WF_200_099_N.png,0,21,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_006_M_F_N_A.png,0,22,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_BF_224_002_N.png,0,23,23,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_035_M_F_N_A.png,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_WM_212_097_N.png,0,25,25,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_035_M_F_N_A.png,0,26,26,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_WM_212_097_N.png,0,27,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_WF_200_099_N.png,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_136_M_M_N_A.png,0,29,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_136_M_M_N_A.png,0,30,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_AF_231_357_N.png,0,31,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_WF_250_167_N.png,0,32,32,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_087_M_M_N_A.png,0,33,33,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_BF_224_002_N.png,0,34,34,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_LM_201_057_N.png,0,35,35,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_LF_224_176_N.png,0,36,36,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_BM_213_134_N.png,0,37,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_BF_214_308_N.png,0,38,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_035_M_F_N_A.png,0,39,39,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_136_M_M_N_A.png,0,40,40,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_WF_250_167_N.png,0,41,41,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_BF_214_308_N.png,0,42,42,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_AM_233_236_N.png,0,43,43,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_BM_234_172_N.png,0,44,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_087_M_M_N_A.png,0,45,45,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_AM_233_236_N.png,0,46,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_AF_245_143_N.png,0,47,47,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_BF_214_308_N.png,0,48,48,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_006_M_F_N_A.png,0,49,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_AF_237_223_N.png,0,50,50,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_LM_203_026_N.png,0,51,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_BF_214_308_N.png,0,52,52,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_AM_233_236_N.png,0,53,53,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_WF_002_004_N.png,0,54,54,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_AF_245_143_N.png,0,55,55,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_WM_212_097_N.png,0,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_LF_224_176_N.png,0,57,57,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_WF_200_099_N.png,0,58,58,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_WF_002_004_N.png,0,59,59,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_AM_233_236_N.png,0,60,60,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_006_M_F_N_A.png,0,61,61,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_BM_234_172_N.png,0,62,62,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_087_M_M_N_A.png,0,63,63,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_AF_231_357_N.png,0,64,64,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_BM_213_134_N.png,0,65,65,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_087_M_M_N_A.png,0,66,66,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_035_M_F_N_A.png,0,67,67,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_AF_237_223_N.png,0,68,68,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_LF_224_176_N.png,0,69,69,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_AF_231_357_N.png,0,70,70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_AF_237_223_N.png,0,71,71,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_BM_213_134_N.png,0,72,72,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_AF_237_223_N.png,0,73,73,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_BF_224_002_N.png,0,74,74,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_WM_212_097_N.png,0,75,75,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_BM_213_134_N.png,0,76,76,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_WF_002_004_N.png,0,77,77,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_BM_234_172_N.png,0,78,78,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_WF_200_099_N.png,0,79,79,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_006_M_F_N_A.png,0,80,80,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_WF_002_004_N.png,0,81,81,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_AM_233_236_N.png,0,82,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_CFD_WF_200_099_N.png,0,83,83,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_WF_250_167_N.png,0,84,84,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\RCHEEK_136_M_M_N_A.png,0,85,85,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_AF_237_223_N.png,0,86,86,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_BM_234_172_N.png,0,87,87,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_AF_231_357_N.png,0,88,88,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\FOREHEAD_CFD_LF_224_176_N.png,0,89,89,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_BF_214_308_N.png,0,90,90,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_BF_224_002_N.png,0,91,91,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LCHEEK_CFD_WM_212_097_N.png,0,92,92,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\LIP_CFD_WF_002_004_N.png,0,93,93,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
images\NASALTIP_CFD_LM_203_026_N.png,0,94,94,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h02.25.006,FaceAttractiveness,2022.2.5,143.89565838013428,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54697169999963,12.849364300000161,12.849364300000161,12.849364300000161,12.849364300000161,12.849364300000161,0.3150041000008059,,,,,,,,,
