faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,faceImages_q,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,7.470970000000307,0.5032580999995844,[-0.1574074074074074],[-0.10555555555555556],[1],[0],[0],[0.021274000000630622],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
,,,,,,,,,,,,,,,,,,,8.037589100000332,8.037589100000332,8.037589100000332,8.037589100000332,8.037589100000332,0.0012084999998478452,None,None,None,None,[0.7574074074074074],[-0.3990740740740741],[1],[0],[0],[1.090804900000876],['image'],,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.104577699999936,0.5025713000013639,-0.15,-0.08796296296296297,1,0,0,instrBlock,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\RCHEEK_CFD_WM_212_097_N.png,0,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\FOREHEAD_CFD_LM_201_057_N.png,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\NASALTIP_136_M_M_N_A.png,0,2,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\NASALTIP_CFD_BF_214_308_N.png,0,3,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\FOREHEAD_CFD_BM_213_134_N.png,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\LCHEEK_CFD_WM_212_097_N.png,0,5,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\LCHEEK_CFD_BF_214_308_N.png,0,6,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\NASALTIP_006_M_F_N_A.png,0,7,7,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\FOREHEAD_136_M_M_N_A.png,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\LIP_CFD_LM_201_057_N.png,0,9,9,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
images\LIP_CFD_LM_203_026_N.png,0,10,10,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h58.17.034,FaceAttractiveness,2022.2.5,143.30199318668414,
